id,id_str,created,text,fav_count,user_name,user_description,user_location,user_created,user_followers
1,1396013563945177089,2021-05-22T08:02:24,RT @NDISDeane: All through the report there is a heavy reliance on saying plan payments are increasing. Hate to tell you folks at the NDIA…,0,JimWils92190042,"Passionate about honesty, integrity and inequality. A fair go for all Australians.",Australia,2018-10-24T05:21:35,789
2,1396013659428696065,2021-05-22T08:02:47,@JustPLUSice @TIME @tesfanews @hawelti @hadnetkeleta @Adulis_Kiloma @FevenYemaney @biniamb @nebilsaid hmmm... often… https://t.co/tLrfkOPxDn,0,TawdryTomatoes,Shalani Tharaka's mistress,"Colombo, Sri Lanka",2016-05-15T00:22:21,218
